日期,时间,年份,月份,国家,省市,地点,姓名,性别,身份证号,手机号,座机号/传真,政治面貌,民族,学历,专业,公司,职位,uuid,邮箱,哈希值,域名,ipv4地址,ipv6地址,mac地址,url,用户名,车牌号,信用卡号,银行名称,组织机构代码,统一社会信用代码,机关单位,医院,学校,港澳通行证号,台湾通行证号,永久居住证号,中国护照,税务登记证号,医师资格证书编号,医师执业证书编号,营业执照,车辆识别代号,公积金号,开户许可证号,银行卡号,军官证号,道路运输经营许可证号,军密认证号,药品名称,药品分类,药品规格,药品用途,药品用法,药品用量,手术类型,手术名称,科室名称,科室介绍,医疗设备,医生职称,检查指标,项目名称,项目描述,耗材名称,疾病名称,手术部位,手术器械名称,付费方式,状况状态,婚姻状况,就业状态,宗教信仰,麻醉方式,麻醉效果,血型,药物状态,分娩方式,乳房检查,胎方位,检查检验结果,病症描述,医嘱内容
九月二十四日,2007-09-24 07:19:35,一九七九年,五月,cn,滨州,内蒙古自治区欣市怀柔赵路,周龙,M,441900193703046642,13554201313,074368685860,普通居民,汉族,全日制博士,核电技术与控制工程,同兴万点科技有限公司,活动执行,08af13d3-1139-4d6d-b11d-f5c730427c6e,tao28@139.net,2c3652f4bda65ca68de303948f8ab134,sun.net,66.218.203.159,5a73:5f0e:1181:996a:288f:b14c:8ae3:2539,62:27:d7:11:e0:4c,https://placekitten.com/506/798,wangguizhen,冀M-KU26X,180092092298552,荷兰银行,DR7K6431-5,92620524783759944K,云南省人防办,海鹰企业集团有限责任公司卫生所,南充职业技术学院,L2956405011,T49755132,KQZ588908417530,G94313165,150123HKUUH8A58,200250656140800993196507136,144210903516399,410900100013523,LEWWDB332KN231827,120053744209,J7386686484058,6229182396914419712,参字第6711085号,皖交运管许可鸠字340207947092号,军密认字第4776号,盐酸伐昔洛韦,处方药,片剂,治疗疱疹、带状疱疹等疾病,口服,成人：一次0.25g，每日3次,骨科手术,骨折复位术,内分泌科,专门治疗内分泌疾病，如糖尿病、甲状腺疾病等,血糖监测仪、甲硫氨酸测量仪、甲状腺扫描仪等,主任医师、副主任医师、医师、护士,胆红素,血型鉴定,血型鉴定是一种检测血液中不同类型的红细胞抗原和血型的医学检查方法。,镀金手术刀,肺动脉高压,心肺系统,除颤器、电凝器、C光机,自费和医保结合,有,丧偶,无业,不可知论,静脉麻醉,重度疼痛,Rh阴性,已过期,产钳助产,磁共振成像,斜位,肺功能受损,胸闷,禁烟酒，控制饮食，定期复查，严格按医生嘱咐服药，规律的有氧运动等。
12月25日,1985-12-25 00:11,一九八五,January,中华人民共和国,北京市,河南省秀英市普陀天津街P座,陈利,Male,445101200108266818,189 0883 1334,0574 1053 893,中共党员,彝族,全日制博士研究生,辐射防护与核安全,九方科技有限公司,舞台美术设计,e706b3cb-0afa-4858-9293-5b932704570c,cuiyang@139.com,518f1c00c2413cb06a4d99110d2264e3c70c5ea4,11.cn,191.136.220.135,bff8:55f7:dd4a:ac8c:8c1:ca5e:4b98:2e5e,b7:c5:ab:80:94:5b,https://placeimg.com/304/51/any,tsy,藏F-83UX5,4611737282699,荷兰银行,58292471-2,92530403656257618C,人力资源和社会保障厅,温州医学院附属眼视光医院,高密市苓芝小学,W2680052788,T13886272,RDX367176296913,P52770561,622901410N37J00,201323398532722001335812096,141430981722065,410900100014166,LEWWDB332KN231457,130384322209,J2731685686443,6213799364901680128,证字第9813833号,苏交运管许可钟字320404264504号,军密认字第9057号,注射用氨基葡萄糖,营养药,注射剂,补充机体所需的氨基酸等营养物质,静脉滴注,剂量视病情而定,泌尿外科手术,输尿管切除术,消化内科,专业治疗各种消化系统疾病，如胃病、十二指肠炎、肠梗阻等,消化内镜、腹部超声仪、胃肠电生理治疗仪等,主任医师、副主任医师、医师、护士,白蛋白（ALB）,脑电图,脑电图（EEG）是一种检测和记录大脑电活动的医学检查。,镊子,甲亢,全身,手术刀、口钳、心电图机,公费医疗,正常,离异,离职,全在神中论,硬膜外麻醉,中度疼痛,Rh阳性,已开封,产瘤助产,乳房超声,横位,C-反应蛋白升高,乏力,不适宜饮用大量水分，更不能喝酒。根据情况选择盐的限制，控制 proteinuria、适度运动、避免中药乱用。
1977 11,11 13 19:23:31,2008,May,Bulgaria,河北邯郸,安徽亳州市涡阳县店集镇程小集村,周阳,M,430527195410149773,8613975234945,0976-305-741,群众,汉族,非全日制普通小学,纺织工程,鑫博腾飞科技有限公司,专业培训师,b3cf8aa0-4133-4b29-8ae1-7c586bd59495,ozhong@gmail.com,b9b1f65062fb737741e6c4ff5920a01d,meng.cn,49.181.190.60,7fcc:2f0:33c0:6974:bec2:fe14:5867:c6c3,9f:48:69:6b:4f:e3,http://www.sun.cn/,chenping,豫BWDG0NF,376379336351717,深圳平安银行,13227928-5,52411222MBCNAJLT0A,上海老干部局,广州嘉信门诊部,抚顺石油化工公司职工大学,C6740118298,T22083431,SJP631713377437,G99664809,6127278RJ5K83E0,200233641611001997985579008,146130522943620,410900100013244,LEWWDB332KN231099,179302276209,J3043649134065,6216548632760420352,沈字第5855972号,吉交运管许可东字220502610381号,军密认字第2207号,多巴水解酶抑制剂,处方药,片剂,治疗帕金森病等疾病,口服,成人：一日最多应用3～4次，以每次50mg起始，根据患者需要和耐受性逐渐增加或减少剂量，但一日最高量不超过20mg/kg。,神经外科手术,颅内良性肿瘤切除术,器官移植科,主要进行器官移植手术和术后的护理工作，如肝、肺、心脏、肾等器官的移植手术,器官移植器械、移植后免疫抑制剂、康复器材等,主任医师、副主任医师、医师、技师、护士,肝酶（GGT）,膀胱镜检查,膀胱镜检查是一种通过膀胱镜检查膀胱和相关组织的医学检查方法。,手术室灯具,胆结石,胆囊,导管、手术器械盘、镊子,医疗救助,稳定,丧偶,学生,基督复临安息日会,表面麻醉,重度疼痛,AB型,已过期,自然分娩,磁共振成像,斜位,尿蛋白阳性,咳嗽,控制饮食，避免吃太热致、刺激性的食物。加强康复锻炼，用药时间不宜过长也不要频繁换药。
一九七一年九月,9月11日19时18分,一九九零,December,Turks and Caicos Islands,福建,山东省秀云市孝南韦路8141号,李秀华,F,511723197406171914,13049122452,022 9257 673,群众,汉族,非全日制职业高中,听力与言语康复学,惠派国际公司传媒有限公司,主管,e09fee33-e8a2-4595-96d7-d36e82c397a9,flei@qq.com,871838fc878c6f47ccf214f008cc81d5,17.cn,180.54.205.142,1ee1:1263:33ff:39e8:6713:54f8:75d5:b2cf,f6:b4:41:c5:ca:26,https://www.jinglei.cn/,dd,桂U J7XVU6,180047595949226,汇丰中国银行,Q4QLX6EH-5,93430426727175709E,金融办,无锡宏源三纺机厂保健站,东阿县职业教育中心学校,K8737980082,T81192530,OQC238659019163,P32316700,411503F61RR0E12,200064626610123001898729472,141130427381592,410900100013764,LEWWDB332KN231084,194854337209,J6717856682714,6231778847817749504,后字第1297963号,蒙交运管许可达字150223709451号,军密认字第5306号,阿莫尔西林克拉维酸钾,抗菌药,片剂,治疗肺炎、腹腔感染等,口服,成人：每次0.375g，每日3次,耳鼻喉科手术,鼻修复术,中医科,主要进行中医治疗，如针灸、中药等,针灸治疗仪、中药煎药机、中药配方对照仪等,主任医师、医师、技师、护士,氯,骨髓穿刺检查,骨髓穿刺检查是一种通过取得骨髓组织样本来检查血液相关疾病的医学检查方法。,手术马克,淤血,全身,扩张器、显微镜、电钻,医疗救助,正常,复婚,退休,卡巴拉,表面麻醉,麻痹,AB型,已过期,自然分娩,乳腺活检,足先露,肺功能受损,不明原因的体重下降,控制饮食，避免吃太热致、刺激性的食物。加强康复锻炼，用药时间不宜过长也不要频繁换药。
十一月十二日,1971/11/12 19:02,1977,一月,Puerto Rico,陕西,台湾省瑜县海港袁路,许成,M,450101197209165509,+86153 1101 5181,0450984354,普通居民,汉族,全日制中等专业,临床医学,易动力信息有限公司,样衣工,b54760fc-c85a-11ed-bb56-f4b5204be593,jdai@189.org,ab2af6eb2a17224342dcee3154511e3979281a5fb95db0e6d2232d504f486e7d,nali.cn,80.114.162.137,c524:3763:b339:7073:d3e1:6327:7b2b:642b,a9:30:45:77:4e:ec,http://xiulanxiulan.cn/,zhujuan,鲁Q D7FAU,4300899004055,惠东惠民村镇银行,24438311-6,92120104944539978X,北京市工商局,河南中医学院第一附属医院,临汾职业技术学院,D8301374366,T29213970,XPJ691694493303,E45467535,652100JKJE8URL8,200515051350700989058383872,147610428552936,410900100013929,LEWWDB332KN232007,151341070209,L5261754223925,6223189897004940288,沈字第4063645号,浙交运管许可德字330521244831号,军密认字第1715号,草酸钙维D3片,非处方药,片剂,预防和治疗骨质疏松等疾病,口服,每次1-2片，1日2次，饭后服用。,心血管外科手术,冠状动脉搭桥手术,床旁超声科,专注于床旁超声技术的研究和应用，如超声引导下穿刺技术、床边检测等,床旁超声仪、医学图像处理软件等,主任医师、医师、技师、护士,抗环状反应蛋白（Anti-CCP）,经颅多普勒,用超声波技术检测颈内动脉和大脑血管状况，应用于中风等情况,面罩,糖尿病,全身,钳子、手术钩、手术马克,医疗救助,确定,丧偶,在职,基督复临安息日会,表面麻醉,重度疼痛,AB型,已过期,产瘤助产,磁共振成像,斜位,肺功能受损,发热,休息、维持水分、按时服药、进行必要的氧气治疗、避免交叉感染等。
2009-04,04 18 04:39:49,二零零三,February,阿尔巴尼亚,南平市,青海省建国市朝阳张家港街F座,郭琳,女性,370214195508305020,156-1773-3510,045991864978,普通居民,汉族,全日制初中,大数据管理与应用,菊风公司信息有限公司,集装箱业务,6b500d19-c85a-11ed-9859-f4b5204be593,yili@hotmail.com,781a35cef9e6e743258f4404786cbdf9,yang.cn,215.133.25.0,90dd:a1f4:2df5:4652:bdc:1955:4de4:f20c,cc:f2:0d:84:6d:d5,https://www.hz.cn/,yangyan,WJ黑89329,180079840204255,中国进出口银行,91695133-2,Y1362323R1LCG6775U,乌海市人力资源和社会保障厅,西安市第一医院,无锡工艺职业技术学院,K7606638018,T71972847,XDC060175129082,G70563114,620105WPPU9WHK5,200236453422800986324336640,143440105000570,410900100013680,LEWWDB332KN231960,151058538209,L4938305475589,6235013971130680320,济字第7648846号,鲁交运管许可莱字371201718354号,军密认字第2194号,阿莫西林,抗菌药,片剂,治疗中耳炎、上呼吸道感染等,口服,成人：一次0.25-0.5g，每日3-4次,眼科手术,近视矫正手术,康复科,主要针对各种身体障碍、运动障碍、神经系统疾病等进行康复治疗,运动功能评定仪、电动理疗床、理疗治疗仪等,主任医师、副主任医师、医师、护士,三酰甘油,血压测量,血压测量是一种检测血液在循环系统中的压力的医学检查方法。,橡胶板,皮肤炎,皮肤组织,皮肤剪刀、手术钩、口钳,医疗补助,隔离期,已婚,离职,苦行派,脊麻醉,无痛,O型,未开封,剖腹产,乳腺触诊,头先露,肝功能异常,咳嗽,饮食要注意富含钙、维生素D，加强锻炼以有利于康复。术后按医生要求进行紧急康复等指导。
1970年10月,10/11 14:40,1980,February,中华人民共和国,江苏省,河北省郑州县锡山王路4233号,王志强,m,230711199706266478,+86 13482463167,0459 5695 1273,党员,汉族,普通高职,无机非金属材料工程,超艺传媒有限公司,镗工,074750f5-68de-4ebd-85eb-a75cb3f52c64,jie89@189.org,0ec3a61d5ec4e426f48313a745c5e154292de7ca,qiaoxia.net,21.107.122.134,58c6:70e9:383d:409f:da3b:3151:50b1:791e,6e:05:4e:30:e7:e0,https://www.pingsun.cn/,lib,WJ宁06506,630411015849,长沙银行,94456595-7,1350011055BQ98X0XY,地税局,民族大学附院,新乡工程学院,Z6839244891,T74467589,IKV241359179672,E25769172,341203HTJFNKYG5,201242681230108988291416064,143340311670742,410900100014062,LEWWDB332KN231548,170062584209,L1480165048062,5184757704972709888,济字第2915392号,粤交运管许可江字440702275854号,军密认字第2788号,洛伐他汀,处方药,片剂,降低血脂、预防冠心病等疾病,口服,每日一次，10-40mg。,神经内科手术,射频消融治疗颈椎病,检验科,主要进行各种临床检验工作，如生化、免疫、微生物、血液等,生化分析仪、免疫球蛋白检测仪、微生物培养仪等,主任医师、副主任医师、医师、技师,凝血酶原时间（PT）,三维影像重建,三维影像重建是一种利用计算机图像处理技术将二维图像转换为三维模型的医学影像处理方法。,手术药品,糖尿病,全身,氧气瓶、心电图机、扩张器,保险,待定,丧偶,自雇,拜火教,局部麻醉,重度疼痛,B型,已开封,产钳助产,磁共振成像,斜位,血压偏高,活动时气促,控制饮食、规律运动、注射或口服降糖药物及胰岛素等。
202008,2020-08-23 06:13,2011年,十二月,瓦里斯和富士那群岛,宁夏回族自治区银川,山西省吕梁市中阳县枝柯镇上桥村,覃楠,男性,431123196306105998,18750617531,081039418967,团员,汉族,非全日制普通博士,阿塞拜疆语,泰麒麟信息有限公司,综合业务经理,954049e0-c85a-11ed-8810-f4b5204be593,minyang@outlook.org,16a0fdd39fbeec4531d8375d9ea82f98d15fcda0c7f6758632b0b80d97c3281e,lei.cn,160.119.56.29,4a1:1b43:48a1:86fb:b471:467c:d30b:a5ed,eb:57:2a:fb:5b:41,https://placeimg.com/453/519/any,zxl,湘N WQ9UP,3598428373166649,哈尔滨银行,62QF56UF-X,59532502AA9EMK4418,安徽淮南地税局,南通体臣卫生学校附属医院,广西信息职业技术学院,Q7623481921,T95072145,QNV430121131560,E43450328,500200YE3D5PFC5,201662667451201990063816704,147350721893986,410900100013250,LEWWDB332KN232003,128463181209,J2900658186036,6251138905445590016,南字第6453979号,藏交运管许可扎字542222715569号,军密认字第0238号,头孢克洛,抗菌药,注射剂,治疗呼吸道感染、肺炎等,静脉滴注,每次1-2g，每日2-4次,泌尿外科手术,尿道下裂修复术,医学影像科,拥有多种影像学设备，如放射性核素扫描设备、X线、CT、核磁共振等,放射性核素扫描设备、X线机、CT机、核磁共振仪等,主任医师、副主任医师、医师、技师、护士,颜色和外观,病理学检查,病理学检查是一种通过检查细胞和组织样本来确定疾病诊断的医学检查方法。,碘酒,喉炎,头颈部,电切器、电剪刀、电凝器,医疗补助,重症,复婚,无业,耶和华见证人,脊麻醉,麻痹,O型,未开封,剖腹产,乳腺活检,足先露,白细胞计数升高,多毛,饮食要注意富含钙、维生素D，加强锻炼以有利于康复。术后按医生要求进行紧急康复等指导。
7月19日,1999 07 19 01:39:42,2003年,九月,CN,江苏徐州,重庆市市辖区巴南区麻柳嘴镇赚宝村,杨莉,f,410326831023946,86136-4070-1186,0818 612 3359,预备党员,汉族,普通高级中学,网络空间安全,趋势科技有限公司,德语翻译,87b780e7-3726-41d5-8e6a-374744a077ac,leiwen@189.org,0bcbc77c7b3a08a6db650dd1ae9e9ee1b7975c9f7d5f911a2449014c8dc5d217,chaoping.cn,134.216.212.155,5b2f:916f:fa15:9686:3da2:39d8:61c2:8196,fb:71:02:ba:96:e6,https://picsum.photos/933/302,mh,闽C 753QXZ,6597101712469420,汇丰中国银行,63174411-0,9322240515353875AT,保定审计厅,江西医学院第二附属医院,贵州民用航空职业学院,B3402949627,T94241133,ZDQ569946962043,E36609571,511503UJER7R0L1,19983461023030219380123740X,110361122331474,410900100013388,LEWWDB332KN231430,150130568209,L7472642989958,5590516572546620416,装字第5700556号,川交运管许可安字510904050645号,军密认字第2656号,头孢拉定,抗菌药,注射剂,治疗社区获得性肺炎、泌尿道感染等,静脉滴注,每次1-2g，每日2-4次,妇产科手术,剖腹产手术,皮肤科,专业治疗各种皮肤疾病，如湿疹、皮炎、痘痘等,紫外线治疗仪、激光治疗仪、红外线治疗仪等,主任医师、副主任医师、医师,血小板分布宽度,心脏介入手术,心脏介入手术是一种治疗心脏疾病的方法，通常使用导管通过血管进入心脏进行手术。,无菌纱布,高血压,心血管系统,吸引器、手术剪刀、动脉钳,医疗补助,有,复婚,退休,耶和华见证人,脊麻醉,麻痹,O型,未开封,产钳助产,乳腺活检,足先露,血糖水平高,多饮,忌食刺激性食物、非甘油类泻药，并按照医生嘱咐使用相应药物。
1981429,四时十五分五十二秒,1979年,March,Russian Federation,那曲,黑龙江省伊春市友好区友好街道办事处先锋社区,沈红梅,f,330424195205275246,18243945888,04572074268,群众,白族,非全日制高职,海关管理,凌云科技有限公司,预定部主管,85ed2ada-c85a-11ed-8bf6-f4b5204be593,xuejie@139.org,95bf93e4aa8d89e736a58787f8d8bcf9d4929978f43be819aae48d8641449b2f,fuluo.cn,207.174.80.165,62a8:88d1:fc55:c597:9338:7a1f:c200:bbd7,df:2f:cb:dd:dc:c6,https://picsum.photos/173/181,cx,WJ辽48680,675980834526,上海浦东发展银行,EERY6W2K-X,93310112133854798D,重庆市黄埔同学会,汕头大学医学院第一附属医院,四川信息职业技术学院,I7585115930,T15944773,VHJ560920618210,G43412141,5401250EXE6BCN1,200646826420526983929659392,143332600569720,410900100013925,LEWWDB332KN231440,135818224209,J1445729674734,6224125457093969920,南字第9145567号,甘交运管许可民字620621651681号,军密认字第5428号,替硝唑,处方药,片剂,治疗阴道炎、胃肠道感染等疾病,口服,成人：剂量因病而异，一日2次或3次，每次0.75～1.5g，餐后服用。,眼科手术,青光眼植入性手术,妇产科,主要进行妇女疾病的诊治和妇产科手术，如宫颈癌、子宫肌瘤、产前筛查等,超声产检仪、妇科手术器械、产床、产钳等,主任医师、副主任医师、医师、技师、护士,生长激素（GH）,肝功能检查,检查患者的肝功能指标，了解患者肝脏情况,滑石粉,肺癌,呼吸系统,手术镜、C光机、氧气瓶,自费,轻症,复婚,在职,唯一神论,全身麻醉,麻痹,A型,未开封,自然分娩,乳腺活检,足先露,白细胞计数升高,胸闷,宜避免接触变态反应源，如花粉、毛发、尘螨等。要嘱患者学会正确使用雾化器和吸入器的方法，保持低盐低脂饮食习惯。
四月一日,2013-04-01 01:25,1984,五月,CN,吴忠,青海省玉兰县沈河宜都街7948号,霍宇,m,371721198902163118,188 8657 6821,0913-399-219,共青团员,汉族,全日制小学,系统科学与工程,华泰通安传媒有限公司,光伏系统工程师,e3cd86e1-d954-446c-b7f7-ebf55eb21a53,nlong@189.com,1d395f034b6e42b895ad51732a96878e8f185bb950b872b11bbd7862fa6a0a81,guiying.cn,160.116.8.13,c175:e348:1b3f:5535:332f:e712:4a38:3c6a,0b:21:37:23:65:51,https://jiexiao.net/,liangxiuhua,WJ鄂3844S,676259435631,上海银行,52816726-3,13520114AXLK5W3L5E,社科联,北京大学第六医院,广州番禺职业技术学院,O7007355594,T45714779,LDX200416700303,P93597974,320301YQXY9BRH3,201246804440203013407113216,130530114984039,410900100013495,LEWWDB332KN231965,187220962209,L1964167203643,6251049497307129856,后字第7572820号,甘交运管许可武字620524130505号,军密认字第1974号,阿莫西林,抗菌药,片剂,治疗中耳炎、上呼吸道感染等,口服,成人：一次0.25-0.5g，每日3-4次,胃肠外科手术,腹腔镜手术,急诊科,负责对各种急性和危急性疾病做出立即诊断和处理,电脑断层扫描仪、紧急救护车、氧气瓶等,主任医师、医师、护士,餐后血糖,放射性核素扫描,放射性核素扫描是一种检查身体内部器官的医学图像检查方法。,扩张器,肝硬化,腹部,取样器、手术钩、吸引器,自费和医保结合,疑似,未婚,无业,神道教,静脉麻醉,轻度疼痛,Rh阴性,已过期,剖腹产,乳腺X线摄影,臀先露,心电图异常,体重下降,决不能服用硝酸甘油等扩血管的药物、避免饮食不良、限制脂肪的摄入、坚持锻炼、防止并发症的发生等。
1988 11,11 07 18:10:04,1986年,八月,中华人民共和国,河北省,北京市冬梅县长寿荆门街N座,洪玉英,女性,420922198302234788,+8615636102856,03134334093,团员,汉族,非全日制普通职高,物流管理,晖来计算机传媒有限公司,行程管理,86793fc2-c85a-11ed-a4e7-f4b5204be593,xiulancheng@gmail.com,cdf69562ef5c88d041209f6196d7f1540d4339c7,01.org,212.154.164.193,6e4d:713a:6781:2b7e:8f5a:544d:f3a3:e657,cf:e9:e4:95:14:66,https://placekitten.com/324/32,zyong,新W-UMC2H,6011359733025765,中国邮政储蓄银行,69389162-6,Y11506261PYBUPJY1E,贵州机构编制委员会办公室,铁岭市中心医院,云南现代职业技术学院,I1940310848,T19569867,NPZ628498149499,G77985902,210422DMXG13FJ4,200864562350300991762464768,146532524867248,410900100013559,LEWWDB332KN231651,122169077209,J2642242862847,6216658016021929984,南字第0795823号,蒙交运管许可敖字150430632190号,军密认字第6605号,乙酰半胱氨酸,非处方药,片剂,预防和治疗病毒感染、增强免疫力,口服,每日1次，每次1-2片。,骨科手术,股骨截骨重建术,感染科,主要进行各种感染性疾病的诊治，如肝炎、艾滋病等,消毒设备、隔离病房、抗感染药物等,主任医师、副主任医师、医师、技师、护士,游离三碘甲状腺原氨酸（FT3）,宫颈癌筛查,采用涂片、HPV病毒检测等检查方式，筛查宫颈癌早期病变,胸骨钩,主动脉夹层,胸部,剪刀、钳子、器械盘,自费和医保结合,未诊断,未婚,自雇,神道教,静脉麻醉,轻度疼痛,Rh阴性,已过期,产钳助产,乳腺X线摄影,臀先露,心电图异常,腹痛,禁烟酒，控制饮食，定期复查，严格按医生嘱咐服药，规律的有氧运动等。
1996 7,07-02 01:27:22,2011,二月,印度,金昌市,黑龙江省杨市萧山谭路5301号,王飞,M,310107193408095952,15234777827,0561 9324 8618,中共预备党员,汉族,非全日制普通小学,电信工程及管理,网新恒天科技有限公司,造纸研发,a2012eb4-c85a-11ed-887f-f4b5204be593,gang46@yahoo.net,25c90bb8dff963eb2f5da9307fb11691,lz.cn,106.153.134.246,93d7:ab3:29c:b851:5d94:9cef:c3ca:246a,35:21:23:32:5e:48,https://www.lima.cn/,wj,黑H-KET0P,342167175357106,恒生银行,19114473-5,Y16528230EG6T1K205,西藏自治区水利厅,黑龙江省中日友谊医院,南京审计大学金审学院,U8579912993,T78796195,DYB365547752558,G05140383,452729MGKQX6Q27,201615038520202006146056192,146430121975200,410900100013695,LEWWDB332KN231311,126599458209,J8981363038035,5200829942131330048,成字第4037172号,闽交运管许可漳字352602048499号,军密认字第0627号,托拉塞米,处方药,片剂,治疗高血压、心力衰竭、肺水肿等,口服,成人：每次20mg，每日1次，饭后服。,泌尿外科手术,输精管切断术,皮肤性病科,主要治疗皮肤疾病和性病,激光去疤仪、疱疹病毒特异性核酸检测仪、红外线透射式显微镜等,主任医师、副主任医师、医师、护士,亚硝酸盐,眼底检查,眼底检查是一种检查眼部和视网膜健康的医学检查方法。,手术盘,高血压,心血管系统,硬膜针、动脉钳、吸气器,保险,疑似,已婚,实习,有神论,局部麻醉,无痛,B型,已开封,剖腹产,乳腺触诊,头先露,血压偏高,气促,改变生活习惯、调整饮食等，视具体情况进行药物治疗。
1983-09,1983年09月26日 03:08,1972,一月,阿富汗,吕梁市,上海市南京市黄浦潜江路2758号,田涛,M,410928660203085,13112332805,0873 353 219,预备党员,汉族,函授,皮金语,时刻传媒有限公司,销售助理,8db1e162-c85a-11ed-b114-f4b5204be593,gaoyan@126.org,b19b6aba4aaf338df78b76c0998ea624,65.cn,8.254.143.114,1ef9:5d1d:c27d:1447:5ff4:8ab1:92ab:4760,df:ae:e9:67:97:14,https://kong.cn/,liukai,WJ豫0736D,180062233451220,中国建设银行,73EX4NKU-5,913307234781279914,重庆物价局,北京世纪坛医院,上海民航职业技术学院,Y7806399411,T60634709,EPE374021655153,E99495617,220802D3M8L7WT8,201050444540401996986843136,145420704428570,410900100013564,LEWWDB332KN231184,143882153209,J4569613106420,6230217605675079680,海字第2369322号,晋交运管许可石字142328587408号,军密认字第8444号,卡托普利,处方药,片剂,治疗高血压、心力衰竭等,口服,成人：一次6.25mg，每日2-3次,耳鼻喉科手术,乳突切除术,急救中心,提供全天候的急救和卫生救援服务,急救车、呼吸道开放支持设备、紧急输液器等,医师、护士,尿酸（UA）,口腔检查,口腔检查是一种用于观察和检测口腔健康的医学检查方法。,注射针头,鼻窦炎,头颈部,除颤器、导管、器械盒,公费医疗,未知,丧偶,在职,图腾崇拜,硬膜外麻醉,重度疼痛,Rh阳性,已开封,自然分娩,磁共振成像,斜位,血压偏高,气促,避免饮酒、控制饮食、规律生活、进行药物治疗等。
一十二月二日,一九九九年一十二月二日一十五时三十一分二十四秒,1984,2月,科威特,广西壮族自治区,辽宁葫芦岛市建昌县养马甸子乡仓上村,赵林,m,222424194808103066,13007447598,0916 636 381,民革党员,汉族,高级中学,智慧水利,新格林耐特网络有限公司,技师,67dbf6d5-5a73-4b38-b126-365b1080a509,adai@qq.com,69db95b826fccdd56a44dd02eb85d9a425f9b1af,sutian.cn,16.117.55.75,8d0e:ea1d:6919:d38b:b61b:20e2:2956:634,9b:19:f9:06:46:81,https://yan.cn/,lcm,闽Y-Q018U,30557502926515,广州农村商业银行,61819768-5,93450107182823664X,国资委,中国人民解放军第四六三医院,临沂市兰山区汪沟镇竹园小学,E5883458431,T85269233,POV080702681562,P32031482,350322YGLW86WC5,201232607610112993323384832,148520325940333,410900100013577,LEWWDB332KN231628,185287750209,L1210360362433,6200862666872009728,北字第8884729号,吉交运管许可辉字220523599238号,军密认字第1444号,铝碳酸镁,非处方药,片剂,缓解消化不良症状,口服,每次2片，每日3次。,心脏手术,心脏瓣膜置换术,心脏外科,主要进行心脏手术和心脏疾病治疗，如冠心病搭桥手术、瓣膜置换手术等,心脏手术器械、心脏血管造影仪、心脏起搏器等,主任医师、副主任医师、医师、技师、护士,低密度脂蛋白胆固醇（LDL-C）,颈动脉磁共振成像,颈动脉磁共振成像（MRI）是一种用于检查颈部动脉的非侵入性医学影像检查方法。,药用棉签,耳鸣,头颈部,手术刀、手术钩、止血钳,公费医疗,失访,复婚,离职,犹太教,硬膜外麻醉,麻痹,Rh阳性,已开封,自然分娩,乳腺活检,足先露,血压偏高,体重下降,注意以清淡饮食为主，提高免疫力。避免抑制免疫系统的药物，如糖皮质激素等。专业治疗。
2003年10月,10月23日2时42分,2016年,9月,突尼斯,白山市,重庆市兴安盟市海港汕尾路D座,徐建华,M,511402710208602,+8615111951951,0660-7397-395,中共党员,汉族,全日制普通专科,创业管理,创汇传媒有限公司,医院,93dd9417-c85a-11ed-98f4-f4b5204be593,lei15@yahoo.com,c710827d7d86e312ef41e91f53b8defec11e2a06,zhenghu.cn,176.96.141.33,4ccb:a782:2afa:4f28:8aa4:1b38:2a30:1f63,0c:77:57:f8:40:a3,https://64.net/,zhangting,粤N F20VB5,3544763193434362,满地可银行,JEYYCTB6-6,91120112736607251L,党校,新郑市人民医院,威海市常春藤外国语学校,C5203776273,T36862698,FXH233501163872,E21890991,340504UG2L6YGQX,200323753370112016238247936,130320112141262,410900100013547,LEWWDB332KN231309,175388094209,L5825851461809,5590516572546620416,空字第2109804号,苏交运管许可淮字320804550424号,军密认字第8737号,盐酸曲马多,处方药,片剂,缓解中度至重度疼痛,口服,成人：一次1-2片，每日3-4次。,骨科手术,关节镜手术,泌尿外科,专业治疗泌尿系统疾病，如膀胱肿瘤、肾结石、前列腺炎等,肾脏等离子刀、膀胱镜、尿道支架等,主任医师、副主任医师、医师,平均红细胞血红蛋白含量,糖化血红蛋白测定,糖化血红蛋白测定是一种测量血液中糖化血红蛋白浓度的医学检查。,导丝,全身性感染,心血管系统,吸氧机、电钻,自费和医保结合,好转,已婚,学生,道教,静脉麻醉,无痛,Rh阴性,已过期,产钳助产,乳腺触诊,头先露,尿蛋白阳性,恶心,禁烟酒，控制饮食，定期复查，严格按医生嘱咐服药，规律的有氧运动等。
